quote_currency,ask_rate,ts,base_currency
USDT,79.9255302709,2023-05-15T19:59:59.999Z,RUB1
USDT,79.9092416493,2023-05-15T20:59:59.999Z,RUB1
USDT,79.8246250902,2023-05-15T21:59:59.999Z,RUB1
USDT,80.0187882973,2023-05-15T22:59:59.999Z,RUB1
USDT,80.0209299941,2023-05-15T23:59:59.999Z,RUB1
USDT,79.7768063014,2023-05-16T00:59:59.999Z,RUB1
USDT,79.7605662897,2023-05-16T01:59:59.999Z,RUB1
USDT,79.1862119113,2023-05-16T02:59:59.999Z,RUB1
USDT,79.1780584927,2023-05-16T03:59:59.999Z,RUB1
USDT,80.0801487232,2023-05-16T04:59:59.999Z,RUB1
USDT,79.9553927024,2023-05-16T05:59:59.999Z,RUB1
USDT,80.0307747886,2023-05-16T06:59:59.999Z,RUB1
USDT,79.7846998531,2023-05-16T07:59:59.999Z,RUB1
USDT,79.9908842883,2023-05-16T08:59:59.999Z,RUB1
USDT,80.0887502752,2023-05-16T09:59:59.999Z,RUB1
USDT,79.9908203126,2023-05-16T10:59:59.999Z,RUB1
USDT,79.981401212,2023-05-16T11:59:59.999Z,RUB1
USDT,79.7691234111,2023-05-16T12:59:59.999Z,RUB1
USDT,80.4029391386,2023-05-16T13:59:59.999Z,RUB1
USDT,80.6608983788,2023-05-16T14:59:59.999Z,RUB1
USDT,80.6532104011,2023-05-16T15:59:59.999Z,RUB1
USDT,80.7541668575,2023-05-16T16:59:59.999Z,RUB1
USDT,80.76728816,2023-05-16T17:59:59.999Z,RUB1
USDT,80.750541094,2023-05-16T18:59:59.999Z,RUB1
USDT,80.7512797263,2023-05-16T19:59:59.999Z,RUB1
USDT,80.750141679,2023-05-16T20:59:59.999Z,RUB1
USDT,80.4873479412,2023-05-16T21:59:59.999Z,RUB1
USDT,80.5183324351,2023-05-16T22:59:59.999Z,RUB1
USDT,80.5246640368,2023-05-16T23:59:59.999Z,RUB1
USDT,80.4979156597,2023-05-17T00:59:59.999Z,RUB1
USDT,80.522454666,2023-05-17T01:59:59.999Z,RUB1
USDT,80.5163763041,2023-05-17T02:59:59.999Z,RUB1
USDT,80.5145365466,2023-05-17T03:59:59.999Z,RUB1
USDT,80.7307162188,2023-05-17T04:59:59.999Z,RUB1
USDT,80.6835455529,2023-05-17T05:59:59.999Z,RUB1
USDT,80.729022381,2023-05-17T06:59:59.999Z,RUB1
USDT,80.6689318757,2023-05-17T07:59:59.999Z,RUB1
USDT,80.6000561708,2023-05-17T08:59:59.999Z,RUB1
USDT,81.0580284571,2023-05-17T09:59:59.999Z,RUB1
USDT,80.8651894733,2023-05-17T10:59:59.999Z,RUB1
USDT,80.7722702914,2023-05-17T11:59:59.999Z,RUB1
USDT,80.4942242998,2023-05-17T12:59:59.999Z,RUB1
USDT,80.3846426274,2023-05-17T13:59:59.999Z,RUB1
USDT,80.1677807321,2023-05-17T14:59:59.999Z,RUB1
USDT,80.1856967824,2023-05-17T15:59:59.999Z,RUB1
USDT,80.3249214966,2023-05-17T16:59:59.999Z,RUB1
USDT,80.2940074236,2023-05-17T17:59:59.999Z,RUB1
USDT,80.2996219336,2023-05-17T18:59:59.999Z,RUB1
USDT,80.3077199361,2023-05-17T19:59:59.999Z,RUB1
USDT,80.31058123,2023-05-17T20:59:59.999Z,RUB1
USDT,80.3183304219,2023-05-17T21:59:59.999Z,RUB1
USDT,79.7597049114,2023-05-17T22:59:59.999Z,RUB1
USDT,79.7573582186,2023-05-17T23:59:59.999Z,RUB1
USDT,79.737825422,2023-05-18T00:59:59.999Z,RUB1
USDT,79.7634402421,2023-05-18T01:59:59.999Z,RUB1
USDT,79.9164029268,2023-05-18T02:59:59.999Z,RUB1
USDT,79.9354312081,2023-05-18T03:59:59.999Z,RUB1
USDT,80.386757154,2023-05-18T04:59:59.999Z,RUB1
USDT,80.3918521527,2023-05-18T05:59:59.999Z,RUB1
USDT,80.2238076003,2023-05-18T06:59:59.999Z,RUB1
USDT,80.3455758587,2023-05-18T07:59:59.999Z,RUB1
USDT,79.9445948288,2023-05-18T08:59:59.999Z,RUB1
USDT,80.1152051419,2023-05-18T09:59:59.999Z,RUB1
USDT,80.0887009034,2023-05-18T10:59:59.999Z,RUB1
USDT,79.6873140651,2023-05-18T11:59:59.999Z,RUB1
USDT,79.749414956,2023-05-18T12:59:59.999Z,RUB1
USDT,80.1238803867,2023-05-18T13:59:59.999Z,RUB1
USDT,80.0873438439,2023-05-18T14:59:59.999Z,RUB1
USDT,80.2049187418,2023-05-18T15:59:59.999Z,RUB1
USDT,80.2100253168,2023-05-18T16:59:59.999Z,RUB1
USDT,80.4127076949,2023-05-18T17:59:59.999Z,RUB1
USDT,80.4044705173,2023-05-18T18:59:59.999Z,RUB1
USDT,80.4071500161,2023-05-18T19:59:59.999Z,RUB1
USDT,80.4042574631,2023-05-18T20:59:59.999Z,RUB1
USDT,80.3920964547,2023-05-18T21:59:59.999Z,RUB1
USDT,80.3840196226,2023-05-18T22:59:59.999Z,RUB1
USDT,80.3920323039,2023-05-18T23:59:59.999Z,RUB1
USDT,80.40425444,2023-05-19T00:59:59.999Z,RUB1
USDT,80.3995269358,2023-05-19T01:59:59.999Z,RUB1
USDT,80.3836967693,2023-05-19T02:59:59.999Z,RUB1
USDT,80.3822840275,2023-05-19T03:59:59.999Z,RUB1
USDT,80.4224942184,2023-05-19T04:59:59.999Z,RUB1
USDT,80.2707655227,2023-05-19T05:59:59.999Z,RUB1
USDT,80.1341347686,2023-05-19T06:59:59.999Z,RUB1
USDT,79.9168641587,2023-05-19T07:59:59.999Z,RUB1
USDT,79.7812998862,2023-05-19T08:59:59.999Z,RUB1
USDT,79.8488741552,2023-05-19T09:59:59.999Z,RUB1
USDT,79.9313917103,2023-05-19T10:59:59.999Z,RUB1
USDT,80.0819698572,2023-05-19T11:59:59.999Z,RUB1
USDT,80.4161111435,2023-05-19T12:59:59.999Z,RUB1
USDT,80.2083894507,2023-05-19T13:59:59.999Z,RUB1
USDT,79.8929132522,2023-05-19T14:59:59.999Z,RUB1
USDT,80.3702146404,2023-05-19T15:59:59.999Z,RUB1
USDT,80.3198160222,2023-05-19T16:59:59.999Z,RUB1
USDT,80.3081754498,2023-05-19T17:59:59.999Z,RUB1
USDT,80.3175847836,2023-05-19T18:59:59.999Z,RUB1
USDT,80.310075928,2023-05-19T19:59:59.999Z,RUB1
USDT,80.3119354689,2023-05-19T20:59:59.999Z,RUB1
USDT,80.1226854729,2023-05-19T21:59:59.999Z,RUB1
USDT,80.1219885327,2023-05-19T22:59:59.999Z,RUB1
USDT,80.1198863834,2023-05-19T23:59:59.999Z,RUB1
USDT,80.1266285071,2023-05-20T00:59:59.999Z,RUB1
USDT,80.1214012473,2023-05-20T01:59:59.999Z,RUB1
USDT,80.1220666672,2023-05-20T02:59:59.999Z,RUB1
USDT,80.1130167006,2023-05-20T03:59:59.999Z,RUB1
USDT,80.129296998,2023-05-20T04:59:59.999Z,RUB1
USDT,80.1255132309,2023-05-20T05:59:59.999Z,RUB1
USDT,80.1193580674,2023-05-20T06:59:59.999Z,RUB1
USDT,80.1218310803,2023-05-20T07:59:59.999Z,RUB1
USDT,80.1396990176,2023-05-20T08:59:59.999Z,RUB1
USDT,80.1109012086,2023-05-20T09:59:59.999Z,RUB1
USDT,80.1073922631,2023-05-20T10:59:59.999Z,RUB1
USDT,80.1106312584,2023-05-20T11:59:59.999Z,RUB1
USDT,80.1125333131,2023-05-20T12:59:59.999Z,RUB1
USDT,80.1178284173,2023-05-20T13:59:59.999Z,RUB1
USDT,80.1207927107,2023-05-20T14:59:59.999Z,RUB1
USDT,80.1206345374,2023-05-20T15:59:59.999Z,RUB1
USDT,80.1286964373,2023-05-20T16:59:59.999Z,RUB1
USDT,80.1300469096,2023-05-20T17:59:59.999Z,RUB1
USDT,80.1250477042,2023-05-20T18:59:59.999Z,RUB1
USDT,80.1247043253,2023-05-20T19:59:59.999Z,RUB1
USDT,80.118644725,2023-05-20T20:59:59.999Z,RUB1
USDT,80.1184031547,2023-05-20T21:59:59.999Z,RUB1
USDT,80.1265246132,2023-05-20T22:59:59.999Z,RUB1
USDT,80.1280680155,2023-05-20T23:59:59.999Z,RUB1
USDT,80.1220431238,2023-05-21T00:59:59.999Z,RUB1
USDT,80.1245988807,2023-05-21T01:59:59.999Z,RUB1
USDT,80.1361606725,2023-05-21T02:59:59.999Z,RUB1
USDT,80.1254731847,2023-05-21T03:59:59.999Z,RUB1
USDT,80.1340785225,2023-05-21T04:59:59.999Z,RUB1
USDT,80.1273677255,2023-05-21T05:59:59.999Z,RUB1
USDT,80.1194320686,2023-05-21T06:59:59.999Z,RUB1
USDT,80.1235776469,2023-05-21T07:59:59.999Z,RUB1
USDT,80.1204658085,2023-05-21T08:59:59.999Z,RUB1
USDT,80.118485125,2023-05-21T09:59:59.999Z,RUB1
USDT,80.1126302826,2023-05-21T10:59:59.999Z,RUB1
USDT,80.1177293376,2023-05-21T11:59:59.999Z,RUB1
USDT,80.1430442318,2023-05-21T12:59:59.999Z,RUB1
USDT,80.1327246699,2023-05-21T13:59:59.999Z,RUB1
USDT,80.1278764239,2023-05-21T14:59:59.999Z,RUB1
USDT,80.1270359033,2023-05-21T15:59:59.999Z,RUB1
USDT,80.1388622726,2023-05-21T16:59:59.999Z,RUB1
USDT,80.1344032306,2023-05-21T17:59:59.999Z,RUB1
USDT,80.119756008,2023-05-21T18:59:59.999Z,RUB1
USDT,80.1197173742,2023-05-21T19:59:59.999Z,RUB1
USDT,80.1204906933,2023-05-21T20:59:59.999Z,RUB1
USDT,80.0820209102,2023-05-21T21:59:59.999Z,RUB1
USDT,80.0725600285,2023-05-21T22:59:59.999Z,RUB1
USDT,80.1146701849,2023-05-21T23:59:59.999Z,RUB1
USDT,80.1086857666,2023-05-22T00:59:59.999Z,RUB1
USDT,80.1018699084,2023-05-22T01:59:59.999Z,RUB1
USDT,80.0988474961,2023-05-22T02:59:59.999Z,RUB1
USDT,80.0107266024,2023-05-22T03:59:59.999Z,RUB1
USDT,80.011043236,2023-05-22T04:59:59.999Z,RUB1
USDT,79.9659984382,2023-05-22T05:59:59.999Z,RUB1
USDT,79.8236573078,2023-05-22T06:59:59.999Z,RUB1
USDT,80.0067593841,2023-05-22T07:59:59.999Z,RUB1
USDT,79.8004306243,2023-05-22T08:59:59.999Z,RUB1
USDT,79.8735226711,2023-05-22T09:59:59.999Z,RUB1
USDT,79.9400995807,2023-05-22T10:59:59.999Z,RUB1
USDT,80.0609752047,2023-05-22T11:59:59.999Z,RUB1
USDT,80.113352058,2023-05-22T12:59:59.999Z,RUB1
USDT,80.0266103586,2023-05-22T13:59:59.999Z,RUB1
USDT,80.0901230907,2023-05-22T14:59:59.999Z,RUB1
USDT,80.1077275898,2023-05-22T15:59:59.999Z,RUB1
